电影名称,主演,上映时间
爱在黎明破晓前,"主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",上映时间：1995-01-27(美国)
搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",上映时间：1999-09-10(意大利)
阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",上映时间：2010-01-04
低俗小说,"主演：约翰·特拉沃尔塔,阿曼达·普拉莫,乌玛·瑟曼",上映时间：1994-05-21(法国)
飞屋环游记,"主演：爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井",上映时间：2009-08-04
窃听风暴,"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",上映时间：2006-03-23(德国)
无间道,"主演：刘德华,梁朝伟,黄秋生",上映时间：2003-09-05
蝴蝶效应,"主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",上映时间：2004-01-23(美国)
飞越疯人院,"主演：杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",上映时间：1975-11-19(美国)
时空恋旅人,"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",上映时间：2013-09-04(英国)
大话西游之大圣娶亲,"主演：周星驰,朱茵,莫文蔚",上映时间：2014-10-24
天空之城,"主演：田中真弓,横泽启子,初井言荣",上映时间：2023-06-01
哈尔的移动城堡,"主演：木村拓哉,于适,倍赏千惠子",上映时间：2024-04-30
天使爱美丽,"主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯",上映时间：2001-04-25(比利时)
心灵捕手,"主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",上映时间：1997-12-05(美国)
复仇者联盟4：终局之战,"主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",上映时间：2019-04-24
爱在日落黄昏时,"主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",上映时间：2015-04-20
花束般的恋爱,"主演：有村架纯,菅田将晖,细田佳央太",上映时间：2022-02-22
春光乍泄,"主演：张国荣,梁朝伟,张震",上映时间：1997-05-30(中国香港)
七宗罪,"主演：布拉德·皮特,摩根·弗里曼,凯文·史派西",上映时间：1995-09-22(美国)
罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",上映时间：1953-08-20(意大利)
重庆森林,"主演：梁朝伟,王菲,金城武",上映时间：1994-07-14(中国香港)
穿条纹睡衣的男孩,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",上映时间：2008-08-28(英国)
猫鼠游戏,"主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",上映时间：2003-04-11
釜山行,"主演：孔刘,郑裕美,马东锡",00(法国)
菊次郎的夏天,"主演：北野武,关口雄介,岸本 加世子",上映时间：2020-09-25
辩护人,"主演：宋康昊,吴达洙,郭度沅",上映时间：2013-12-18(韩国)
钢琴家,"主演：阿德里安·布劳迪,艾米莉娅·福克斯,米乔·赞布罗斯基",上映时间：2002-05-24(法国)
饮食男女,"主演：郎雄,吴倩莲,杨贵媚",上映时间：1994-08-03(美国)
剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",上映时间：1990-12-06(美国)
入殓师,"主演：本木雅弘,广末凉子,山崎努",上映时间：2021-10-29
断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",上映时间：2005-09-02(意大利)
十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",上映时间：1957-04-13(美国)
素媛,"主演：李来,薛景求,严智苑",上映时间：2013-10-02(韩国)
好东西,"主演：宋佳,钟楚曦,章宇",上映时间：2024-11-22
蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",上映时间：2008-07-14(阿根廷)
两杆大烟枪,"主演：杰森·弗莱明,德克斯特·弗莱彻,杰森·斯坦森",上映时间：1998-08-28(英国)
奥本海默,"主演：基里安·墨菲,艾米莉·布朗特,马特·达蒙",上映时间：2023-08-30
傲慢与偏见,"主演：马修·麦克费登,吉娜·马隆,妲露拉·莱莉",上映时间：2008-02-10
大鱼,"主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",上映时间：2003-12-04(美国)
真爱至上,"主演：休·格兰特,比尔·奈伊,连姆·尼森",上映时间：2003-11-21(英国)
致命魔术,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",上映时间：2006-10-17(意大利)
禁闭岛,"主演：莱昂纳多·迪卡普里奥,马克·鲁法洛,本·金斯利",上映时间：2010-02-13(德国)
